
{'Budget_proportion': 1,
 'attr_criterion': True,
 'bce_loss_nita': 0.5,
 'device': 'cuda:0',
 'model_name': 'Nlinear',
 'model_save_path': './save/model_dict/Nlinear_w_var.pth',
 'multi_gpu': False,
 'predictor_batch_size': 200,
 'predictor_epoch_num': 100,
 'predictor_learning_rate': 0.0001,
 'pretrained': False,
 'pretrained_model_path': 'None',
 'save_model': True,
 'var_loss_lambda': 0.5}
Start Train...
Epoch: 37 | Accuracy: 0.89 | Recall: 0.008 | Precision: 0.446| RMSE: 0.331| AUC: 0.5035 | logloss_mean: 0.2764931975601657
Epoch: 38 | Accuracy: 0.89 | Recall: 0.006 | Precision: 0.449| RMSE: 0.3309| AUC: 0.5027 | logloss_mean: 0.2760793597446483
Epoch: 39 | Accuracy: 0.891 | Recall: 0.005 | Precision: 0.528| RMSE: 0.3306| AUC: 0.5024 | logloss_mean: 0.27520981852363036
Epoch: 40 | Accuracy: 0.89 | Recall: 0.01 | Precision: 0.439| RMSE: 0.3312| AUC: 0.5043 | logloss_mean: 0.2741631752838498
Epoch: 41 | Accuracy: 0.891 | Recall: 0.007 | Precision: 0.481| RMSE: 0.3308| AUC: 0.5031 | logloss_mean: 0.273902211519121
Epoch: 42 | Accuracy: 0.891 | Recall: 0.007 | Precision: 0.522| RMSE: 0.3306| AUC: 0.5031 | logloss_mean: 0.27383385815666716
Epoch: 43 | Accuracy: 0.891 | Recall: 0.005 | Precision: 0.471| RMSE: 0.3308| AUC: 0.502 | logloss_mean: 0.27332321066156173
Epoch: 44 | Accuracy: 0.891 | Recall: 0.019 | Precision: 0.541| RMSE: 0.3302| AUC: 0.5085 | logloss_mean: 0.27235336225588347
Epoch: 45 | Accuracy: 0.891 | Recall: 0.012 | Precision: 0.623| RMSE: 0.3299| AUC: 0.5057 | logloss_mean: 0.27246068588014943
Epoch: 46 | Accuracy: 0.891 | Recall: 0.009 | Precision: 0.542| RMSE: 0.3305| AUC: 0.5041 | logloss_mean: 0.27212639706372055
Epoch: 47 | Accuracy: 0.891 | Recall: 0.015 | Precision: 0.58| RMSE: 0.33| AUC: 0.5067 | logloss_mean: 0.2707686105073945
Epoch: 48 | Accuracy: 0.891 | Recall: 0.02 | Precision: 0.573| RMSE: 0.3298| AUC: 0.5092 | logloss_mean: 0.2707005513343707
Epoch: 49 | Accuracy: 0.892 | Recall: 0.018 | Precision: 0.667| RMSE: 0.3292| AUC: 0.5086 | logloss_mean: 0.27000686647460875
Epoch: 50 | Accuracy: 0.892 | Recall: 0.028 | Precision: 0.619| RMSE: 0.3289| AUC: 0.5127 | logloss_mean: 0.2695510518529172
Epoch: 51 | Accuracy: 0.891 | Recall: 0.027 | Precision: 0.57| RMSE: 0.3296| AUC: 0.5122 | logloss_mean: 0.26941020256902987
Epoch: 52 | Accuracy: 0.892 | Recall: 0.026 | Precision: 0.605| RMSE: 0.3292| AUC: 0.5117 | logloss_mean: 0.2691257354595418
Epoch: 53 | Accuracy: 0.891 | Recall: 0.026 | Precision: 0.582| RMSE: 0.3295| AUC: 0.5116 | logloss_mean: 0.26807919926760554
Epoch: 54 | Accuracy: 0.891 | Recall: 0.032 | Precision: 0.557| RMSE: 0.3296| AUC: 0.5145 | logloss_mean: 0.2674139566647196
Epoch: 55 | Accuracy: 0.891 | Recall: 0.031 | Precision: 0.532| RMSE: 0.3301| AUC: 0.5138 | logloss_mean: 0.2666908854311242
Epoch: 56 | Accuracy: 0.892 | Recall: 0.027 | Precision: 0.586| RMSE: 0.3294| AUC: 0.5124 | logloss_mean: 0.266584847610697
Epoch: 57 | Accuracy: 0.892 | Recall: 0.028 | Precision: 0.604| RMSE: 0.3291| AUC: 0.5126 | logloss_mean: 0.26585459604280665
Epoch: 58 | Accuracy: 0.891 | Recall: 0.071 | Precision: 0.525| RMSE: 0.3296| AUC: 0.5316 | logloss_mean: 0.2654504776543495
Epoch: 59 | Accuracy: 0.891 | Recall: 0.067 | Precision: 0.513| RMSE: 0.3301| AUC: 0.5297 | logloss_mean: 0.2642662488104938
Epoch: 60 | Accuracy: 0.891 | Recall: 0.059 | Precision: 0.535| RMSE: 0.3294| AUC: 0.5265 | logloss_mean: 0.26393866994716586
Epoch: 61 | Accuracy: 0.892 | Recall: 0.058 | Precision: 0.549| RMSE: 0.329| AUC: 0.5261 | logloss_mean: 0.2624607765595022
Epoch: 62 | Accuracy: 0.89 | Recall: 0.057 | Precision: 0.473| RMSE: 0.3318| AUC: 0.5245 | logloss_mean: 0.2620118181537656
Epoch: 63 | Accuracy: 0.891 | Recall: 0.058 | Precision: 0.508| RMSE: 0.3304| AUC: 0.5255 | logloss_mean: 0.2615876365453005
Epoch: 64 | Accuracy: 0.891 | Recall: 0.073 | Precision: 0.507| RMSE: 0.3304| AUC: 0.5322 | logloss_mean: 0.26211752035447117
Epoch: 65 | Accuracy: 0.892 | Recall: 0.051 | Precision: 0.544| RMSE: 0.3293| AUC: 0.523 | logloss_mean: 0.2605369791063001
Epoch: 66 | Accuracy: 0.892 | Recall: 0.046 | Precision: 0.553| RMSE: 0.3292| AUC: 0.5208 | logloss_mean: 0.26029009274342685
Epoch: 67 | Accuracy: 0.892 | Recall: 0.068 | Precision: 0.54| RMSE: 0.329| AUC: 0.5307 | logloss_mean: 0.25933296506483
Epoch: 68 | Accuracy: 0.889 | Recall: 0.103 | Precision: 0.462| RMSE: 0.3335| AUC: 0.544 | logloss_mean: 0.2583535570759796
Epoch: 69 | Accuracy: 0.891 | Recall: 0.067 | Precision: 0.515| RMSE: 0.33| AUC: 0.5298 | logloss_mean: 0.25801552544592077
Epoch: 70 | Accuracy: 0.889 | Recall: 0.071 | Precision: 0.454| RMSE: 0.3331| AUC: 0.5304 | logloss_mean: 0.2581002576620255
Epoch: 71 | Accuracy: 0.89 | Recall: 0.059 | Precision: 0.465| RMSE: 0.3322| AUC: 0.5252 | logloss_mean: 0.25661532866578657
Epoch: 72 | Accuracy: 0.891 | Recall: 0.061 | Precision: 0.495| RMSE: 0.3309| AUC: 0.5266 | logloss_mean: 0.25667398312644474
Epoch: 73 | Accuracy: 0.892 | Recall: 0.072 | Precision: 0.531| RMSE: 0.3293| AUC: 0.5321 | logloss_mean: 0.2566316860357245
Epoch: 74 | Accuracy: 0.891 | Recall: 0.064 | Precision: 0.531| RMSE: 0.3295| AUC: 0.5285 | logloss_mean: 0.2562580664000175
